weekday;preholiday;rainfall;temperature;manager;service;target;actual
5;0;0;0;1;3;56250;57292
4;0;0;0;1;1;56250;57222
3;0;0;-11;1;1;56250;58958
4;0;0;-3;1;1;56250;57014
3;1;2;1;4;2;56250;60625
2;0;0;2;4;1;56250;60208
1;0;0;3;4;1;56250;57569
5;0;7;3;4;1;56250;59028
4;0;2;3;3;1;56250;59653
3;0;5;-3;2;2;56250;57153
2;0;8;-14;1;1;56250;58333
1;0;8;-12;1;1;56250;57639
6;1;1;-8;4;1;56250;58611
5;0;0;-11;1;3;56250;60347
4;0;0;-17;1;1;56250;58333
3;0;0;-16;1;1;56250;56458
2;0;3;-9;1;1;56250;55833
1;0;0;-15;1;1;56250;53819
5;0;0;-12;1;3;56250;59444
4;0;0;-13;1;1;56250;56944
3;0;0;-11;1;1;56250;54722
2;0;0;-13;1;1;56250;54097
1;0;0;-12;1;1;56250;54653
5;0;0;-12;1;2;56250;57222
4;0;1;-10;4;1;56250;56597
3;0;6;-4;1;1;56250;54375
2;0;1;-4;1;1;56250;57014
1;0;2;-5;1;1;56250;59653
5;0;5;-2;1;2;56250;55208
4;0;0;-2;1;1;56250;56181
3;0;1;-1;1;1;56250;55903
2;0;3;2;1;1;56250;54028
1;0;2;3;1;1;56250;56458
5;0;11;-1;1;2;56250;54306
4;0;3;-10;1;1;56250;55625
3;0;0;-9;1;1;56250;53611
2;0;0;-9;1;1;56250;58889
1;0;1;-7;1;1;56250;57569
5;0;0;-14;1;2;56250;56042
4;0;0;-14;1;1;56250;57639
3;0;1;-17;1;1;56250;58542
2;0;0;-13;1;1;56250;57500
1;0;0;-12;1;1;56250;57361
